"","StartDate","EndDate","IPAddress","Duration","RecordedDate","ResponseId","LocationLatitude","LocationLongitude","ProlificID","Gender","Education","Salary","AIKnowledge","UsedAI","TimeEnergy","SimilarTasks","EnhanceHurt","Attention","Comments","Submission.id","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Employment.sector","Age","Sex","Ethnicity","Country.of.birth","Country.of.residence","Language","Student.status","Employment.status"
"1","04/15/2023 11:05","04/15/2023 11:06","45.16.200.13",60,"04/15/2023 11:06","R_Z7AEWg4Bv2UmrhD",39.1397,-86.5141,"6303c76f9b47f2b53cc038d3","Male","Bachelor’s Degree","$25,001 - $50,000","Very familiar (up to date with AI trends and developments)","Yes","some time","Can perform only a few tasks","neither","Compose an email","","643ad94e87855db823797453","2023-04-15T17:05:21.519000Z","2023-04-15T17:06:26.417000Z","2023-04-15T17:06:26.905000","2023-04-15T17:06:26.836950Z",65,"CE3DWF28",81,"Education & Training","29","Male","White","United States","United States","English","No","Full-Time"
"2","04/15/2023 11:08","04/15/2023 11:09","67.255.242.72",63,"04/15/2023 11:09","R_2Sj1yYiUwgmNJIk",42.963,-72.2929,"629e1dcac03690dc02e2859c","Male","Graduate Degree","$50,001 - $75,000","Very familiar (up to date with AI trends and developments)","Yes","some time","Can perform many tasks","detract","Compose an email","","643ada1398ee9324110a2fcc","2023-04-15T17:08:37.945000Z","2023-04-15T17:09:43.740000Z","2023-04-15T17:09:44.197000","2023-04-15T17:09:44.122854Z",66,"CE3DWF28",1898,"Education & Training","30","Male","White","United States","United States","English","No","Full-Time"
"3","04/15/2023 11:23","04/15/2023 11:27","97.132.26.127",242,"04/15/2023 11:27","R_1CvvDmtnCrrn91J",36.0711,-86.7196,"5ccedad53734bb001b27a68b","Female","Graduate Degree","$75,001 - $100,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","enhance","Compose an email",NA,"643add75d6541a3eb9cd6214","2023-04-15T17:23:06.590000Z","2023-04-15T17:27:15.397000Z","2023-04-15T17:27:15.889000","2023-04-15T17:27:15.832721Z",249,"CE3DWF28",1467,"Education & Training","54","Female","White","United States","United States","English","No","Full-Time"
"4","04/15/2023 11:30","04/15/2023 11:31","148.59.175.197",64,"04/15/2023 11:31","R_2qgaJPFguLcUAIt",35.1063,-114.5925,"5be8de2ed3560900015c743a","Female","Graduate Degree","$0 - $25,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","lot of time","Can perform only a few tasks","enhance","Compose an email",NA,"643adf2e960082eae52abf60","2023-04-15T17:30:26.132000Z","2023-04-15T17:31:33.483000Z","2023-04-15T17:31:34.113000","2023-04-15T17:31:34.028496Z",68,"CE3DWF28",4474,"Education & Training","57","Female","White","United States","United States","English","No","Full-Time"
"5","04/15/2023 11:32","04/15/2023 11:33","68.59.54.178",69,"04/15/2023 11:33","R_3fGHDefwVQOdMoe",30.4908,-84.3158,"5e3c1c2e97ffb2000cac32b6","Female","Graduate Degree","$100,000+","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","enhance","Compose an email","","643adfa65f25bf31bf17373a","2023-04-15T17:32:24.461000Z","2023-04-15T17:33:47.293000Z","2023-04-15T17:33:47.671000","2023-04-15T17:33:47.614573Z",83,"CE3DWF28",503,"Education & Training","27","Female","White","United States","United States","English","No","Full-Time"
"6","04/15/2023 11:46","04/15/2023 11:49","74.109.20.142",199,"04/15/2023 11:49","R_2rHjMqpUwUMhpbB",39.9486,-75.2339,"60fd9bb007743e0d7ecbaac4","Female","Some College","$50,001 - $75,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform many tasks","enhance","Compose an email","","643ae2dd06fecf0e3f2abebe","2023-04-15T17:46:08.505000Z","2023-04-15T17:49:31.645000Z","2023-04-15T17:49:32.175000","2023-04-15T17:49:32.106236Z",204,"CE3DWF28",2408,"Education & Training","45","Female","Black","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
"7","04/15/2023 11:48","04/15/2023 11:50","107.77.224.43",109,"04/15/2023 11:50","R_3rGa6vrVEM1gjK2",40.6469,-73.9344,"6108bae61196a3bd6fc3a24b","Female","Graduate Degree","$25,001 - $50,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","neither","Compose an email","","643ae3730005596c07713bc2","2023-04-15T17:48:40.322000Z","2023-04-15T17:50:40.452000Z","2023-04-15T17:50:40.896000","2023-04-15T17:50:40.828177Z",121,"CE3DWF28",1324,"Education & Training","28","Female","White","United States","United States","English","Yes","Full-Time"
"8","04/15/2023 11:52","04/15/2023 11:54","71.246.242.113",69,"04/15/2023 11:54","R_1OpLdbgMvxJSuZN",38.9801,-76.7425,"64012dd5c39978def2518c84","Female","Some College","$50,001 - $75,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Cannot perform any tasks","enhance","Operate a self-driving car","","643ae46a1beb912af3dc45ee","2023-04-15T17:52:51.644000Z","2023-04-15T17:54:04.469000Z","2023-04-15T17:54:04.937000","2023-04-15T17:54:04.855206Z",73,"CE3DWF28",206,"Education & Training","19","Female","Black","United States","United States","English","Yes","Part-Time"
"9","04/15/2023 11:54","04/15/2023 11:56","67.162.113.193",107,"04/15/2023 11:56","R_vYQMGXsLK7DQs4F",40.1016,-88.2822,"5cf1e3a5859c2100191124b2","Male","Graduate Degree","$75,001 - $100,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","lot of time","Can perform many tasks","enhance","Compose an email","","643ae4c480a1a9d35793d8b4","2023-04-15T17:54:16.859000Z","2023-04-15T17:56:08.391000Z","2023-04-15T17:56:08.831000","2023-04-15T17:56:08.756248Z",112,"CE3DWF28",34,"Education & Training","41","Male","White","United States","United States","English","No","Full-Time"
"10","04/15/2023 12:04","04/15/2023 12:06","70.119.131.88",105,"04/15/2023 12:06","R_rr8EwCJTs9LcwBr",32.8548,-97.0819,"5e04c5327dd477f212afbfad","Male","Graduate Degree","$50,001 - $75,000","Very familiar (up to date with AI trends and developments)","Yes","lot of time","Can perform many tasks","enhance","Compose an email","","643ae73e94066ba1d393d8d5","2023-04-15T18:04:50.758000Z","2023-04-15T18:06:40.834000Z","2023-04-15T18:06:41.438000","2023-04-15T18:06:41.363595Z",111,"CE3DWF28",352,"Education & Training","44","Male","White","United States","United States","English","Yes","Part-Time"
"11","04/15/2023 12:09","04/15/2023 12:11","24.91.180.31",96,"04/15/2023 12:11","R_32XyFl6c4ZMa54A",42.0681,-72.6256,"55a55bd7fdf99b790558627c","Female","Graduate Degree","$25,001 - $50,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","little time","Can perform only a few tasks","detract","Compose an email","","643ae858059ec1aaec955867","2023-04-15T18:09:30.994000Z","2023-04-15T18:11:17.921000Z","2023-04-15T18:11:18.446000","2023-04-15T18:11:18.356726Z",107,"CE3DWF28",3127,"Education & Training","44","Female","White","United States","United States","Esperanto","DATA_EXPIRED","DATA_EXPIRED"
"12","04/15/2023 12:10","04/15/2023 12:11","67.165.136.51",46,"04/15/2023 12:11","R_tEFdLO1zeHzJCet",41.9462,-88.0758,"5e402dcd7b260d000a7b69fe","Female","Graduate Degree","$50,001 - $75,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","neither","Compose an email","","643ae8a593ffe6433ce06510","2023-04-15T18:10:47.946000Z","2023-04-15T18:11:38.008000Z","2023-04-15T18:11:38.527000","2023-04-15T18:11:38.442133Z",51,"CE3DWF28",3282,"Education & Training","37","Female","White","United States","United States","English","No","Full-Time"
"13","04/15/2023 12:09","04/15/2023 12:12","73.162.238.49",149,"04/15/2023 12:12","R_DqPqr1KnyG2VJbb",38.4361,-122.6718,"63b0644f614d18abfcfcacfe","Female","Bachelor’s Degree","$25,001 - $50,000","Moderately familiar (have some understanding of what AI is and how it works)","I Don't Know","some time","Can perform only a few tasks","enhance","Compose an email","","643ae854ca3aa075b67973b0","2023-04-15T18:09:29.280000Z","2023-04-15T18:12:02.803000Z","2023-04-15T18:12:03.283000","2023-04-15T18:12:03.211135Z",154,"CE3DWF28",109,"Education & Training","51","Female","White","Japan","United States","English","No","Part-Time"
"14","04/15/2023 12:11","04/15/2023 12:12","65.151.155.243",86,"04/15/2023 12:12","R_2Yhq7Rvp8x6yirx",41.8482,-87.6521,"60802d028176cca5b665920b","Female","Bachelor’s Degree","$25,001 - $50,000","Somewhat familiar (heard of AI but have no knowledge of it)","I Don't Know","some time","Can perform only a few tasks","neither","Compose an email","","643ae8c49a9c7420ac2cd8b2","2023-04-15T18:11:22.056000Z","2023-04-15T18:13:02.071000Z","2023-04-15T18:13:02.563000","2023-04-15T18:13:02.485763Z",101,"CE3DWF28",571,"Education & Training","24","Female","White","United States","United States","English","Yes","Other"
"15","04/15/2023 12:12","04/15/2023 12:13","47.153.168.14",48,"04/15/2023 12:13","R_3RwMXW89CjCHPjF",33.6598,-117.3485,"630051de1dfc7f3ba6bb40cc","Male","Bachelor’s Degree","$75,001 - $100,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform many tasks","enhance","Compose an email","","643ae903a46340ce4365d514","2023-04-15T18:12:22.979000Z","2023-04-15T18:13:17.855000Z","2023-04-15T18:13:18.376000","2023-04-15T18:13:18.380096Z",55,"CE3DWF28",1077,"Education & Training","27","Male","Asian","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
"16","04/15/2023 12:11","04/15/2023 12:13","73.191.33.155",92,"04/15/2023 12:13","R_3PIaaYknHF2lUMM",39.3327,-76.7358,"611545776d3931006e1913eb","Male","Graduate Degree","$50,001 - $75,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","lot of time","Can perform only a few tasks","enhance","Compose an email","n/a","643ae8e002aac70a4ae3e081","2023-04-15T18:11:46.495000Z","2023-04-15T18:13:21.601000Z","2023-04-15T18:13:23.802000","2023-04-15T18:13:23.721788Z",96,"CE3DWF28",484,"Education & Training","27","Male","White","United States","United States","English","Yes","Full-Time"
"17","04/15/2023 12:11","04/15/2023 12:13","66.229.15.12",139,"04/15/2023 12:13","R_1f1xIpkqeqJa8MH",26.0219,-80.3003,"5c6f2e7632cb70000169b490","Female","Bachelor’s Degree","$50,001 - $75,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","enhance","Compose an email","","643ae8c5bdb98f1c0a2f28fc","2023-04-15T18:11:20.022000Z","2023-04-15T18:13:46.603000Z","2023-04-15T18:13:52.050000","2023-04-15T18:13:49.164387Z",147,"CE3DWF28",3612,"Education & Training","47","Female","Black","United States","United States","English","No","Full-Time"
"18","04/15/2023 12:12","04/15/2023 12:15","50.158.165.134",166,"04/15/2023 12:15","R_Yb1vaY2HHC641Ed",36.122,-115.086,"633f050f498936a87592181c","Female","Bachelor’s Degree","$0 - $25,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","some time","Can perform only a few tasks","enhance","Compose an email","","643ae905019c0fa04bf91056","2023-04-15T18:12:25.692000Z","2023-04-15T18:15:18.167000Z","2023-04-15T18:15:18.662000","2023-04-15T18:15:18.593594Z",173,"CE3DWF28",1374,"Education & Training","62","Female","White","United States","United States","English","No","Part-Time"
"19","04/15/2023 12:11","04/15/2023 12:15","71.245.58.238",247,"04/15/2023 12:15","R_1LMAH6xCDYhkroO",40.7956,-77.0427,"5f1319143fdcd700091a41d4","Female","Bachelor’s Degree","$50,001 - $75,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","neutral","Can perform only a few tasks","neither","Compose an email","","643ae8d49edd2bb72265d520","2023-04-15T18:11:40.985000Z","2023-04-15T18:15:56.776000Z","2023-04-15T18:15:57.296000","2023-04-15T18:15:57.222230Z",256,"CE3DWF28",4550,"Education & Training","33","Female","White","United States","United States","English","No","Full-Time"
"20","04/15/2023 12:15","04/15/2023 12:16","108.46.135.150",78,"04/15/2023 12:16","R_2wubEhOpIRWIbxe",40.9355,-73.7603,"5edd3d8267f8fc0c4d67bc00","Male","Graduate Degree","$50,001 - $75,000","Moderately familiar (have some understanding of what AI is and how it works)","Yes","neutral","Can perform only a few tasks","enhance","Compose an email","","643ae9b35f993c01d50238c8","2023-04-15T18:15:18.550000Z","2023-04-15T18:16:41.305000Z","2023-04-15T18:16:41.729000","2023-04-15T18:16:41.658510Z",83,"CE3DWF28",3224,"Education & Training","39","Male","White","United States","United States","English","Yes","Full-Time"
