Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Employment-sector,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
643c38163fe861c908512dc7,62dc4a5fef307ee53c61afcc,APPROVED,2023-04-16T18:02:02.971000Z,2023-04-16T18:03:51.371000Z,2023-04-16T18:03:51.950000,2023-04-16T18:03:51.861333Z,109,CE3DWF28,394,Medicine,29,Male,Mixed,United States,United States,United States,English,No,Full-Time
643c3f08684b532c6b2f298b,60ddf5abb47cc02285793096,APPROVED,2023-04-16T18:31:40.607000Z,2023-04-16T18:33:43.327000Z,2023-04-16T18:33:43.825000,2023-04-16T18:33:43.731680Z,123,CE3DWF28,1872,Medicine,23,Female,White,United States,United States,United States,English,No,Full-Time
643c410b6274e818c765d518,5edd1133213f7a077ee2709b,APPROVED,2023-04-16T18:40:16.744000Z,2023-04-16T18:41:54.920000Z,2023-04-16T18:41:55.581000,2023-04-16T18:41:55.494207Z,99,CE3DWF28,1203,Medicine,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643c41a2110a003d543398f9,6151b5ac7510be42d379540b,APPROVED,2023-04-16T18:42:47.656000Z,2023-04-16T18:47:03.707000Z,2023-04-16T18:47:04.843000,2023-04-16T18:47:04.754812Z,257,CE3DWF28,431,Medicine,49,Female,White,United States,United States,United States,English,Yes,Full-Time
643c45208743135f437973db,64137d0dfe71cf6624348d27,APPROVED,2023-04-16T18:59:21.412000Z,2023-04-16T19:06:06.214000Z,2023-04-16T19:06:06.850000,2023-04-16T19:06:06.775176Z,405,CE3DWF28,162,Medicine,64,Female,White,United States,United States,United States,English,No,Part-Time
643c455e3e95755814173745,5d60b5beea1c1c0001c98bf6,APPROVED,2023-04-16T18:58:42.082000Z,2023-04-16T19:03:18.618000Z,2023-04-16T19:03:19.241000,2023-04-16T19:03:19.171025Z,277,CE3DWF28,3590,Medicine,65,Female,White,United States,United States,United States,English,No,Full-Time
643c46ff6628455fb6f452cb,609122350e5b8e743ab41f79,APPROVED,2023-04-16T19:09:29.577000Z,2023-04-16T19:11:01.560000Z,2023-04-16T19:11:02.112000Z,2023-04-16T19:11:02.567668Z,92,CE3DWF28,2165,Medicine,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
643c47dde0aa1e09dc93d8cb,5b1f185488ee7400012b4b5c,APPROVED,2023-04-16T19:09:25.253000Z,2023-04-16T19:12:20.364000Z,2023-04-16T19:12:20.847000,2023-04-16T19:12:20.778352Z,176,CE3DWF28,1144,Medicine,60,Female,White,United States,United States,United States,English,No,Full-Time
643c481b4c0183f31596d54d,5fe60e02c64c9641da0fa5cb,APPROVED,2023-04-16T19:10:22.512000Z,2023-04-16T19:12:14.405000Z,2023-04-16T19:12:14.902000,2023-04-16T19:12:14.846686Z,112,CE3DWF28,1751,Medicine,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643c48233a0bd950f320a3a4,5ef8c7d9b630670523229373,APPROVED,2023-04-16T19:10:30.222000Z,2023-04-16T19:16:32.355000Z,2023-04-16T19:16:35.873000,2023-04-16T19:16:35.750898Z,363,CE3DWF28,3417,Medicine,54,Female,White,United States,United States,United States,English,No,Full-Time
643c4acab2f6f883a660e423,612053690485b0b2420a03fd,APPROVED,2023-04-16T19:21:49.893000Z,2023-04-16T19:24:02.921000Z,2023-04-16T19:24:03.375000,2023-04-16T19:24:03.310979Z,134,CE3DWF28,1712,Medicine,44,Female,White,United States,United States,United States,English,No,Part-Time
643c4acc6b715f5b6ce312a1,610872fbe89ec576eee0e583,APPROVED,2023-04-16T19:21:51.711000Z,2023-04-16T19:23:28.799000Z,2023-04-16T19:23:29.990000,2023-04-16T19:23:29.913671Z,98,CE3DWF28,193,Medicine,22,Female,White,United States,United States,United States,English,Yes,Other
