Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Employment-sector,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
643d4464433542838a7f96b6,5dc774e90a0b38558f2568f2,APPROVED,2023-04-17T13:06:48.417000Z,2023-04-17T13:08:23.731000Z,2023-04-17T13:08:24.584000,2023-04-17T13:08:24.507642Z,96,CE3DWF28,189,"Science, Technology, Engineering & Mathematics",33,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
643d49600359c82272ac6a87,5e120ce27855d389ae690a01,APPROVED,2023-04-17T13:28:05.948000Z,2023-04-17T13:30:01.727000Z,2023-04-17T13:30:02.133000,2023-04-17T13:30:02.073390Z,116,CE3DWF28,215,Information Technology,49,Male,White,United States,United States,United States,English,No,Full-Time
643d49e7e09ee4e6a415519f,5e76d82cd701da2568b5144e,APPROVED,2023-04-17T13:30:17.731000Z,2023-04-17T13:31:43.232000Z,2023-04-17T13:31:43.772000,2023-04-17T13:31:43.669982Z,86,CE3DWF28,321,"Science, Technology, Engineering & Mathematics",23,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643d4f611d3e1942ac7bdbb3,5e4aa4c11e0136000af57a42,APPROVED,2023-04-17T13:53:41.329000Z,2023-04-17T13:55:48.463000Z,2023-04-17T13:55:48.995000,2023-04-17T13:55:48.927528Z,128,CE3DWF28,1660,Information Technology,22,Male,White,United States,United States,United States,English,Yes,Part-Time
643d535ebd0f8b81cc1adbc5,5fc7e1a6984e2507f4df948e,APPROVED,2023-04-17T14:10:42.016000Z,2023-04-17T14:11:36.072000Z,2023-04-17T14:11:36.487000,2023-04-17T14:11:36.420035Z,55,CE3DWF28,920,"Science, Technology, Engineering & Mathematics",26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643d5375fce2fdb6e399a4d8,5e5410f5be932e06384a03ec,APPROVED,2023-04-17T14:11:04.772000Z,2023-04-17T14:11:47.257000Z,2023-04-17T14:11:47.747000,2023-04-17T14:11:47.687792Z,43,CE3DWF28,1558,Information Technology,31,Male,Asian,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
643d53d3ceba23d5b2d5de7a,63d81f3f9fb108f7012ed455,APPROVED,2023-04-17T14:12:39.172000Z,2023-04-17T14:14:56.463000Z,2023-04-17T14:14:56.938000,2023-04-17T14:14:56.866794Z,138,CE3DWF28,305,Information Technology,48,Male,White,United States,United States,United States,English,No,Full-Time
643d54c933b438a6e4a93722,6143c28b6d84339f28982fb5,APPROVED,2023-04-17T14:16:46.188000Z,2023-04-17T14:19:15.202000Z,2023-04-17T14:19:16.182000,2023-04-17T14:19:16.123994Z,150,CE3DWF28,999,Information Technology,43,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
643d55f2998af09b5ce7a1b8,5c8676deddda2d00012ad386,APPROVED,2023-04-17T14:21:44.022000Z,2023-04-17T14:24:23.892000Z,2023-04-17T14:24:24.574000,2023-04-17T14:24:24.500954Z,160,CE3DWF28,2625,Information Technology,30,Male,White,United Kingdom,United States,United States,English,Yes,Full-Time
643d56f8a35814be371b9633,5c9db776f35c880018bc2fd1,APPROVED,2023-04-17T14:26:04.014000Z,2023-04-17T14:27:34.862000Z,2023-04-17T14:27:35.368000,2023-04-17T14:27:35.297216Z,91,CE3DWF28,4674,"Science, Technology, Engineering & Mathematics",DATA_EXPIRED,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643d5736c611d34a6e793560,5b76ce43bfc4cb0001f2c4c3,APPROVED,2023-04-17T14:27:04.769000Z,2023-04-17T14:28:33.527000Z,2023-04-17T14:28:34.091000Z,2023-04-17T14:28:34.514718Z,89,CE3DWF28,1549,Information Technology,49,Female,White,United States,United States,United States,English,No,Full-Time
643d577bec2a5f9b70528523,5de8613ddf86d37c8a8ab294,APPROVED,2023-04-17T14:28:14.355000Z,2023-04-17T14:29:10.604000Z,2023-04-17T14:29:11.208000,2023-04-17T14:29:11.150408Z,57,CE3DWF28,2057,Information Technology,21,Female,White,United States,United States,United States,English,No,Full-Time
