StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,ProlificID,Age,Gender,Education,Salary,AIKnowledge,UsedAI,TimeEnergy,SimilarTasks,EnhanceHurt,Attention,Comments
04/15/2023 11:05,04/15/2023 11:06,IP Address,45.16.200.13,100,60,TRUE,04/15/2023 11:06,R_Z7AEWg4Bv2UmrhD,39.1397,-86.5141,anonymous,EN,I consent to participate in this study,6303c76f9b47f2b53cc038d3,29,Male,Bachelor’s Degree,"$25,001 - $50,000",Very familiar (up to date with AI trends and developments),Yes,Save some time,Can perform only a few tasks,AI will neither enhance nor detract from my work,Compose an email,
04/15/2023 11:08,04/15/2023 11:09,IP Address,67.255.242.72,100,63,TRUE,04/15/2023 11:09,R_2Sj1yYiUwgmNJIk,42.963,-72.2929,anonymous,EN,I consent to participate in this study,629e1dcac03690dc02e2859c,30,Male,Graduate Degree,"$50,001 - $75,000",Very familiar (up to date with AI trends and developments),Yes,Save some time,Can perform many tasks,AI will detract from my work,Compose an email,
04/15/2023 11:23,04/15/2023 11:27,IP Address,97.132.26.127,100,242,TRUE,04/15/2023 11:27,R_1CvvDmtnCrrn91J,36.0711,-86.7196,anonymous,EN,I consent to participate in this study,5ccedad53734bb001b27a68b,54,Female,Graduate Degree,"$75,001 - $100,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save some time,Can perform only a few tasks,AI will enhance my work,Compose an email,NA
04/15/2023 11:30,04/15/2023 11:31,IP Address,148.59.175.197,100,64,TRUE,04/15/2023 11:31,R_2qgaJPFguLcUAIt,35.1063,-114.5925,anonymous,EN,I consent to participate in this study,5be8de2ed3560900015c743a,57,Female,Graduate Degree,"$0 - $25,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save a lot of time,Can perform only a few tasks,AI will enhance my work,Compose an email,NA
04/15/2023 11:32,04/15/2023 11:33,IP Address,68.59.54.178,100,69,TRUE,04/15/2023 11:33,R_3fGHDefwVQOdMoe,30.4908,-84.3158,anonymous,EN,I consent to participate in this study,5e3c1c2e97ffb2000cac32b6,27,Female,Graduate Degree,"$100,000+",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save some time,Can perform only a few tasks,AI will enhance my work,Compose an email,
04/15/2023 11:46,04/15/2023 11:49,IP Address,74.109.20.142,100,199,TRUE,04/15/2023 11:49,R_2rHjMqpUwUMhpbB,39.9486,-75.2339,anonymous,EN,I consent to participate in this study,60fd9bb007743e0d7ecbaac4,45,Female,Some College,"$50,001 - $75,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save some time,Can perform many tasks,AI will enhance my work,Compose an email,
04/15/2023 11:48,04/15/2023 11:50,IP Address,107.77.224.43,100,109,TRUE,04/15/2023 11:50,R_3rGa6vrVEM1gjK2,40.6469,-73.9344,anonymous,EN,I consent to participate in this study,6108bae61196a3bd6fc3a24b,28,Female,Graduate Degree,"$25,001 - $50,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save some time,Can perform only a few tasks,AI will neither enhance nor detract from my work,Compose an email,
04/15/2023 11:52,04/15/2023 11:54,IP Address,71.246.242.113,100,69,TRUE,04/15/2023 11:54,R_1OpLdbgMvxJSuZN,38.9801,-76.7425,anonymous,EN,I consent to participate in this study,64012dd5c39978def2518c84,19,Female,Some College,"$50,001 - $75,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save some time,Cannot perform any tasks,AI will enhance my work,Operate a self-driving car,
04/15/2023 11:54,04/15/2023 11:56,IP Address,67.162.113.193,100,107,TRUE,04/15/2023 11:56,R_vYQMGXsLK7DQs4F,40.1016,-88.2822,anonymous,EN,I consent to participate in this study,5cf1e3a5859c2100191124b2,41,Male,Graduate Degree,"$75,001 - $100,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save a lot of time,Can perform many tasks,AI will enhance my work,Compose an email,
04/15/2023 12:04,04/15/2023 12:06,IP Address,70.119.131.88,100,105,TRUE,04/15/2023 12:06,R_rr8EwCJTs9LcwBr,32.8548,-97.0819,anonymous,EN,I consent to participate in this study,5e04c5327dd477f212afbfad,44,Male,Graduate Degree,"$50,001 - $75,000",Very familiar (up to date with AI trends and developments),Yes,Save a lot of time,Can perform many tasks,AI will enhance my work,Compose an email,
04/15/2023 12:09,04/15/2023 12:11,IP Address,24.91.180.31,100,96,TRUE,04/15/2023 12:11,R_32XyFl6c4ZMa54A,42.0681,-72.6256,anonymous,EN,I consent to participate in this study,55a55bd7fdf99b790558627c,44,Female,Graduate Degree,"$25,001 - $50,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save little time,Can perform only a few tasks,AI will detract from my work,Compose an email,
04/15/2023 12:10,04/15/2023 12:11,IP Address,67.165.136.51,100,46,TRUE,04/15/2023 12:11,R_tEFdLO1zeHzJCet,41.9462,-88.0758,anonymous,EN,I consent to participate in this study,5e402dcd7b260d000a7b69fe,37,Female,Graduate Degree,"$50,001 - $75,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save some time,Can perform only a few tasks,AI will neither enhance nor detract from my work,Compose an email,
04/15/2023 12:09,04/15/2023 12:12,IP Address,73.162.238.49,100,149,TRUE,04/15/2023 12:12,R_DqPqr1KnyG2VJbb,38.4361,-122.6718,anonymous,EN,I consent to participate in this study,63b0644f614d18abfcfcacfe,51,Female,Bachelor’s Degree,"$25,001 - $50,000",Moderately familiar (have some understanding of what AI is and how it works),I Don't Know,Save some time,Can perform only a few tasks,AI will enhance my work,Compose an email,
04/15/2023 12:11,04/15/2023 12:12,IP Address,65.151.155.243,100,86,TRUE,04/15/2023 12:12,R_2Yhq7Rvp8x6yirx,41.8482,-87.6521,anonymous,EN,I consent to participate in this study,60802d028176cca5b665920b,24,Female,Bachelor’s Degree,"$25,001 - $50,000",Somewhat familiar (heard of AI but have no knowledge of it),I Don't Know,Save some time,Can perform only a few tasks,AI will neither enhance nor detract from my work,Compose an email,
04/15/2023 12:12,04/15/2023 12:13,IP Address,47.153.168.14,100,48,TRUE,04/15/2023 12:13,R_3RwMXW89CjCHPjF,33.6598,-117.3485,anonymous,EN,I consent to participate in this study,630051de1dfc7f3ba6bb40cc,26,Male,Bachelor’s Degree,"$75,001 - $100,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save some time,Can perform many tasks,AI will enhance my work,Compose an email,
04/15/2023 12:11,04/15/2023 12:13,IP Address,73.191.33.155,100,92,TRUE,04/15/2023 12:13,R_3PIaaYknHF2lUMM,39.3327,-76.7358,anonymous,EN,I consent to participate in this study,611545776d3931006e1913eb,27,Male,Graduate Degree,"$50,001 - $75,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save a lot of time,Can perform only a few tasks,AI will enhance my work,Compose an email,n/a
04/15/2023 12:11,04/15/2023 12:13,IP Address,66.229.15.12,100,139,TRUE,04/15/2023 12:13,R_1f1xIpkqeqJa8MH,26.0219,-80.3003,anonymous,EN,I consent to participate in this study,5c6f2e7632cb70000169b490,46,Female,Bachelor’s Degree,"$50,001 - $75,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save some time,Can perform only a few tasks,AI will enhance my work,Compose an email,
04/15/2023 12:12,04/15/2023 12:15,IP Address,50.158.165.134,100,166,TRUE,04/15/2023 12:15,R_Yb1vaY2HHC641Ed,36.122,-115.086,anonymous,EN,I consent to participate in this study,633f050f498936a87592181c,62,Female,Bachelor’s Degree,"$0 - $25,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save some time,Can perform only a few tasks,AI will enhance my work,Compose an email,
04/15/2023 12:11,04/15/2023 12:15,IP Address,71.245.58.238,100,247,TRUE,04/15/2023 12:15,R_1LMAH6xCDYhkroO,40.7956,-77.0427,anonymous,EN,I consent to participate in this study,5f1319143fdcd700091a41d4,33,Female,Bachelor’s Degree,"$50,001 - $75,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Neutral,Can perform only a few tasks,AI will neither enhance nor detract from my work,Compose an email,
04/15/2023 12:15,04/15/2023 12:16,IP Address,108.46.135.150,100,78,TRUE,04/15/2023 12:16,R_2wubEhOpIRWIbxe,40.9355,-73.7603,anonymous,EN,I consent to participate in this study,5edd3d8267f8fc0c4d67bc00,39,Male,Graduate Degree,"$50,001 - $75,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Neutral,Can perform only a few tasks,AI will enhance my work,Compose an email,
04/15/2023 12:15,04/15/2023 12:16,IP Address,76.158.139.195,100,69,TRUE,04/15/2023 12:16,R_2CQBJFoAxDqJZgC,38.0253,-121.3009,anonymous,EN,I consent to participate in this study,60067fd5329f8f92a34200d3,28,Male,Bachelor’s Degree,"$100,000+",Moderately familiar (have some understanding of what AI is and how it works),I Don't Know,Save no time,Cannot perform any tasks,AI will detract from my work,Compose an email,
04/15/2023 12:15,04/15/2023 12:16,IP Address,100.16.158.150,100,72,TRUE,04/15/2023 12:16,R_xg49tfByWlA88et,39.1021,-76.6209,anonymous,EN,I consent to participate in this study,60d013c844b649ad5b781aa5,31,Female,Bachelor’s Degree,"$50,001 - $75,000",Very familiar (up to date with AI trends and developments),Yes,Save some time,Can perform only a few tasks,AI will neither enhance nor detract from my work,Compose an email,
04/15/2023 12:15,04/15/2023 12:17,IP Address,172.59.168.104,100,100,TRUE,04/15/2023 12:17,R_z2wOEmHpCTLeWJj,38.7102,-90.2359,anonymous,EN,I consent to participate in this study,628f83dc5398c04bac86f9e6,38,Male,Graduate Degree,"$50,001 - $75,000",Somewhat familiar (heard of AI but have no knowledge of it),Yes,Save some time,Can perform many tasks,AI will enhance my work,Predict a future weather event,
04/15/2023 12:16,04/15/2023 12:17,IP Address,172.79.73.112,100,100,TRUE,04/15/2023 12:17,R_3QKlLzhhw5Oaw4o,40.8957,-121.6603,anonymous,EN,I consent to participate in this study,614f23fabc0fcaa3cdfb9e05,47,Female,Some College,"$0 - $25,000",Somewhat familiar (heard of AI but have no knowledge of it),Yes,Save little time,Cannot perform any tasks,AI will neither enhance nor detract from my work,Compose an email,none
04/15/2023 12:16,04/15/2023 12:18,IP Address,98.245.247.13,100,103,TRUE,04/15/2023 12:18,R_6JqvxYAnZsd8dLr,38.8768,-104.812,anonymous,EN,I consent to participate in this study,60fe1ac35857bd81dfd311d5,25,Male,Bachelor’s Degree,"$25,001 - $50,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save little time,Can perform only a few tasks,AI will neither enhance nor detract from my work,Compose an email,
04/15/2023 12:18,04/15/2023 12:19,IP Address,76.82.44.213,100,74,TRUE,04/15/2023 12:19,R_2TzYep2269Cokzz,34.3768,-118.5208,anonymous,EN,I consent to participate in this study,63a0d718bbed03d92665039e,54,Female,Graduate Degree,"$25,001 - $50,000",Moderately familiar (have some understanding of what AI is and how it works),I Don't Know,Save some time,Cannot perform any tasks,AI will detract from my work,Compose an email,
04/15/2023 12:18,04/15/2023 12:21,IP Address,67.252.37.142,100,156,TRUE,04/15/2023 12:21,R_28MXOHcK0rCtrOb,42.9135,-78.889,anonymous,EN,I consent to participate in this study,59e62b6277860e0001512e14,69,Male,Graduate Degree,"$25,001 - $50,000",Moderately familiar (have some understanding of what AI is and how it works),Yes,Save some time,Can perform only a few tasks,AI will enhance my work,Operate a self-driving car,
04/15/2023 12:22,04/15/2023 12:22,IP Address,24.62.150.254,100,54,TRUE,04/15/2023 12:22,R_CacVpAwBkU4ss0N,42.5781,-71.805,anonymous,EN,I consent to participate in this study,614fbb4467c4c74f573a94d3,31,Male,Bachelor’s Degree,"$50,001 - $75,000",Very familiar (up to date with AI trends and developments),Yes,Save a lot of time,Can perform many tasks,AI will enhance my work,Compose an email,
